Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
res-ST6BAJ2N,Cloud Dataproc,954.9843,Requests,europe-north1,92.72,70.42,77097035547,82685933273,01-08-2024 22:24,07-08-2024 06:54,5.24,5004.12,5004,415332
res-TYGNR0RV,Pub/Sub,479.6348,GB,europe-west1,37.78,46.8,8239357017,11351490561,23-08-2024 09:18,25-08-2024 07:26,9.82,4710.01,4710,390930
res-S3I9C869,BigQuery,114.4129,GB,southamerica-east1,82.54,59.47,23358691883,23450812120,18-07-2024 11:13,22-07-2024 00:45,7.37,843.22,843,69969
res-1RY9BZ6G,Cloud Endpoints,413.193,GB,us-central1,86.68,97.63,53404385778,60780194484,20-07-2024 00:15,21-07-2024 10:16,4.41,1822.18,1822,151226
res-S3HQYIZ2,Cloud Spanner,335.9892,GB,asia-southeast1,82.95,21.58,10795270461,14161382061,21-08-2024 21:25,25-08-2024 00:21,6.09,2046.17,2046,169818
res-MWGCR6VT,Cloud Run,50.8,Hours,europe-north1,32.36,95.15,67970493743,70311789173,18-07-2024 03:07,20-07-2024 05:55,8.8,447.04,447,37101
res-FSWKHTQW,Cloud CDN,333.6126,Requests,europe-west1,12.21,62.31,27515142149,27664449839,23-08-2024 11:39,25-08-2024 11:08,5.84,1948.3,1948,161684
res-S7I6Z6JD,Cloud Run,49.5833,Hours,asia-southeast1,59.18,6.07,69079125950,78552821117,20-08-2024 13:23,22-08-2024 14:58,4.84,239.98,240,19920
res-U3CCWT2L,Cloud VPN,384.7979,Requests,northamerica-northeast1,36.67,9.41,14639390405,20917834831,08-07-2024 19:35,14-07-2024 04:02,1.98,761.9,762,63246
res-4DX4UZEY,Firestore,533.6245,Requests,australia-southeast1,96.4,52.4,72632018521,72843203438,05-07-2024 09:25,10-07-2024 21:26,5.08,2710.81,2711,225013
res-JAL9EY6P,Compute Engine,78.7,Hours,europe-west1,68.28,26.56,60327278928,66769681245,09-07-2024 14:33,12-07-2024 21:15,4.89,384.84,385,31955
res-B4GZM2Q6,AI Platform,86.6333,Hours,europe-west1,12.91,5.41,92616000746,99059500361,14-08-2024 09:47,18-08-2024 00:25,9.23,799.63,800,66400
res-012HZFAA,Cloud Interconnect,290.0492,Requests,us-central1,53.93,14.51,15213923507,19106889929,19-07-2024 19:26,22-07-2024 13:56,4.09,1186.3,1186,98438
res-ELZMGAPV,Pub/Sub,96.9514,Requests,asia-east1,73.72,1.94,47714907583,55324053975,18-07-2024 12:56,20-07-2024 21:28,3.15,305.4,305,25315
res-XACLYR7O,Cloud CDN,657.3878,Requests,us-east1,43.57,32.42,64719533732,74457276259,03-07-2024 23:38,08-07-2024 06:34,3.28,2156.23,2156,178948
res-O0Y1GSUY,AI Platform,98.3833,Hours,asia-east1,47.61,86.01,14130706238,23480009488,20-08-2024 03:04,24-08-2024 05:27,7.71,758.54,759,62997
res-S3LT44XO,Cloud Build,713.5354,GB,asia-east1,93.56,2.89,61053572660,66456079011,25-08-2024 21:20,31-08-2024 12:24,5.12,3653.3,3653,303199
res-4FELBDAQ,Cloud Armor,609.9901,Requests,us-east1,98.66,51.52,70591459011,75043755268,07-07-2024 00:52,09-07-2024 13:46,4.92,3001.15,3001,249083
res-8DBLI7MV,Pub/Sub,61.3889,Requests,asia-southeast1,20.25,49.89,24459345122,30238120394,28-08-2024 09:37,29-08-2024 17:30,7.68,471.47,471,39093
res-KI6SEH8K,Cloud VPN,194.6074,GB,southamerica-east1,71.48,83.84,50023921405,52243912598,07-07-2024 12:16,11-07-2024 01:58,7.04,1370.04,1370,113710
